Deck,SideQuest
Legend of Istoria,Write a Poem
Legend of Istoria,Pick up trash around your neighborhood
Legend of Istoria,Try a new food or drink
Legend of Istoria,Write down three things you like about yourself
Legend of Istoria,Legend of Istoria
Legend of Istoria,Take a luxurious bath or shower
Legend of Istoria,Organize the files on your computer
Legend of Istoria,Take yourself on a date
Legend of Istoria,LIsten to your 5 favorite songs
Legend of Istoria,Do a puzzle
Legend of Istoria,Do a 10 minute stretch
Legend of Istoria,Delete the apps on your phone that don't bring you joy
Legend of Istoria,Take 5 minutes and visualize a positive future for yourself
Legend of Istoria,Do 15 minutes of yoga
Legend of Istoria,Meditate for 10 minutes
Legend of Istoria,Clean out your car
Legend of Istoria,Take a personality quiz to learn more about yourself
Legend of Istoria,Light a candle or create a relaxing aroma in your space
Legend of Istoria,Rearrange a room
Legend of Istoria,Stay off social media for a day
Legend of Istoria,Watch a documentary
Legend of Istoria,Drink your favorite beverage
Legend of Istoria,Learn a new word and use it in a sentence
Legend of Istoria,Bake something
Legend of Istoria,Compliment someone
Legend of Istoria,Read a chapter from a new book
Legend of Istoria,Draw or paint a picture
Legend of Istoria,Take a walk
Legend of Istoria,Have your favorite meal
Legend of Istoria,Tell a friend you're thankful for them
Legend of Istoria,Set an early bedtime for more sleep
Legend of Istoria,Write down a favorite memory
Legend of Istoria,Sing your favorite song out loud
Legend of Istoria,Go get a new plant for your space
Legend of Istoria,Play a board game
Legend of Istoria,Do a random act of kindness
Legend of Istoria,Drink 5 cups of water
Legend of Istoria,Research your name's meaning
Legend of Istoria,Declutter your work space
Legend of Istoria,Write down the things you want to accomplish
Legend of Istoria,Set a timer and do 15 minutes of cleaning
Legend of Istoria,Try a new restaurant or recipe
Legend of Istoria,Spend five minutes in silent reflection
Legend of Istoria,Build a blanket fort
Legend of Istoria,Watch your favorite movie of all time
Legend of Istoria,Polar Bear Challenge: take a cold shower
Legend of Istoria,Organize your kitchen
Legend of Istoria,Purge your closet of old clothes you no longer wear and donate them
Legend of Istoria,Send a handwritten letter
Legend of Istoria,Make your bed
Legend of Istoria,Look in a mirror and say your great qualities out loud
Legend of Istoria,Write a 5-star review for a local small business
Istoria Magic Academy,Stretch for 10 minutes
Istoria Magic Academy,Go on a walk around your neighborhood
Istoria Magic Academy,Make progress towards decluttering a space in your home
Istoria Magic Academy,"Visit a local attraction (park, zoo, etc.)"
Istoria Magic Academy,Purge your closet and donate the clothes
Istoria Magic Academy,Call someone you haven't spoken to in a while
Istoria Magic Academy,Go to a farmers market
Istoria Magic Academy,Go to a place that means a lot to you
Istoria Magic Academy,Go to a restaurant you have never tried but always wanted to
Istoria Magic Academy,Go to bed early and get an early start the next day
Istoria Magic Academy,Go to a local coffee shop
Istoria Magic Academy,Do a load of laundry
Istoria Magic Academy,"Go to a dog park, with or without a dog"
Istoria Magic Academy,Visit a local museum or take a virtual tour
Istoria Magic Academy,Learn and play a new board game
Istoria Magic Academy,Learn a new word
Istoria Magic Academy,Read or listen to a book for 15 minutes
Istoria Magic Academy,"Learn how to say ""Hello"" in a different language"
Istoria Magic Academy,Learn something new about your town's history
Istoria Magic Academy,Learn how to make a better paper airplane
Istoria Magic Academy,Learn a card or magic trick
Istoria Magic Academy,Learn how to make something with origami
Istoria Magic Academy,Practice an impression of a celebrity or character
Istoria Magic Academy,Learn a new Recipe and try to make it
Istoria Magic Academy,Memorize a new quote
Istoria Magic Academy,"Learn a life skill you've wanted to learn (changing a tire, CPR, etc.)"
Istoria Magic Academy,Make something with your hands
Istoria Magic Academy,Bake something from scratch
Istoria Magic Academy,Brew a special drink
Istoria Magic Academy,Write a story for 5 minutes
Istoria Magic Academy,Draw a fictional character
Istoria Magic Academy,Color for 10 minutes
Istoria Magic Academy,Take a picture of something in your house from a new perspective
Istoria Magic Academy,Make up a fictional character with a backstory
Istoria Magic Academy,Write down your favorite quote backwards and look at it in the mirror
Istoria Magic Academy,Draw or paint something that reminds you of your favorite person
Istoria Magic Academy,Put on your favorite outfit
Istoria Magic Academy,Write a poem/song about something you experience today
Istoria Magic Academy,Dance like no one is watching
Istoria Magic Academy,Light a candle
Istoria Magic Academy,Warm up a blanket in the dryer and get cozy
Istoria Magic Academy,Pause and take 10 deep breaths
Istoria Magic Academy,Get a new plant for your living space
Istoria Magic Academy,"Relax your shoulders, unclench your jaw, take a deep breath."
Istoria Magic Academy,Say the ABCs backwards
Istoria Magic Academy,Do a power pose for 1 minute: stand up straight and lift your chin
Istoria Magic Academy,Spend 5 minutes alone
Istoria Magic Academy,Watch or read something that makes you laugh
Istoria Magic Academy,Watch a video of someone painting or creating something
Istoria Magic Academy,Go see a movie or watch one of your favorites at home
Istoria Magic Academy,Put your phone away and spend an hour with no internet
Istoria Magic Academy,Have some tea or a warm drink
Galaxy of Istoria,Evade responsibilities and have a self-care day
Galaxy of Istoria,Purge a little space junk. Sell or donate something you don't use anymore
Galaxy of Istoria,Go stargazing and learn something new about constellations
Galaxy of Istoria,Draw or write about your own spacecraft. What is it for? What features does it have?
Galaxy of Istoria,Take a virtual tour of the Smithsonian National Air and Space Museum
Galaxy of Istoria,"Explore the galaxy! Discover a new sci-fi movie, show, or book to enjoy!"
Galaxy of Istoria,To lightspeed! Make the lighting in your space warmer and more ambient
Galaxy of Istoria,Time travel!
Galaxy of Istoria,Do something kind that your future self will appreciate
